,date,close,date,close
306,2014-04-29,54.1311111111,2014-04-29,81.088
307,2014-04-30,53.8894444444,2014-04-30,82.133
308,2014-05-01,53.9772222222,2014-05-01,81.843
309,2014-05-02,54.7466666667,2014-05-02,81.809
310,2014-05-05,54.7955555556,2014-05-05,81.334
311,2014-05-06,54.3077777778,2014-05-06,80.533
312,2014-05-07,53.9411111111,2014-05-07,81.448
313,2014-05-08,54.0148888889,2014-05-08,81.387
314,2014-05-09,54.2688888889,2014-05-09,81.522
315,2014-05-12,55.0688888889,2014-05-12,82.296
316,2014-05-13,55.2977777778,2014-05-13,82.348
317,2014-05-14,55.1622222222,2014-05-14,81.891
318,2014-05-15,54.4011111111,2014-05-15,81.174
319,2014-05-16,54.8755555556,2014-05-16,81.579
320,2014-05-19,55.1511111111,2014-05-19,81.823
321,2014-05-20,54.9022222222,2014-05-20,80.48
322,2014-05-21,55.2511111111,2014-05-21,81.136
323,2014-05-22,55.3744444444,2014-05-22,81.161
324,2014-05-23,55.8288888889,2014-05-23,81.407
325,2014-05-27,56.2177777778,2014-05-27,81.604
326,2014-05-28,56.0322222222,2014-05-28,81.69
327,2014-05-29,56.1355555556,2014-05-29,82.186
328,2014-05-30,56.2866666667,2014-05-30,82.743
329,2014-06-02,56.1222222222,2014-06-02,82.969
330,2014-06-03,56.4455555556,2014-06-03,82.958
331,2014-06-04,56.6644444444,2014-06-04,83.148
332,2014-06-05,56.9705555556,2014-06-05,83.859
333,2014-06-06,57.1744444444,2014-06-06,84.379
334,2014-06-09,56.9822222222,2014-06-09,84.423
335,2014-06-10,56.4966666667,2014-06-10,84.291
336,2014-06-11,56.4155555556,2014-06-11,84.02
337,2014-06-12,56.1383333333,2014-06-12,82.495
338,2014-06-13,56.2655555556,2014-06-13,82.562
339,2014-06-16,56.6011111111,2014-06-16,82.755
340,2014-06-17,56.8133333333,2014-06-17,82.906
341,2014-06-18,57.0322222222,2014-06-18,83.902
342,2014-06-19,57.0888888889,2014-06-19,84.143
343,2014-06-20,57.0677777778,2014-06-20,84.13
344,2014-06-23,57.2688888889,2014-06-23,83.753
345,2014-06-24,56.9411111111,2014-06-24,82.975
346,2014-06-25,57.3122222222,2014-06-25,83.025
347,2014-06-26,57.1022222222,2014-06-26,82.845
348,2014-06-27,57.2077777778,2014-06-27,83.002
349,2014-06-30,57.3633333333,2014-06-30,83.032
350,2014-07-01,57.8566666667,2014-07-01,82.879
351,2014-07-02,57.97,2014-07-02,82.825
352,2014-07-03,58.2955555556,2014-07-03,83.795
353,2014-07-07,57.9455555556,2014-07-07,83.289
354,2014-07-08,57.7233333333,2014-07-08,82.882
355,2014-07-09,58.4211111111,2014-07-09,83.1
356,2014-07-10,58.3216666667,2014-07-10,82.588
357,2014-07-11,58.4855555556,2014-07-11,82.379
358,2014-07-14,58.5888888889,2014-07-14,82.555
359,2014-07-15,58.3888888889,2014-07-15,82.607
360,2014-07-16,59.2688888889,2014-07-16,82.608
361,2014-07-17,58.8633333333,2014-07-17,82.083
362,2014-07-18,59.2661111111,2014-07-18,82.369
363,2014-07-21,59.1844444444,2014-07-21,81.89
364,2014-07-22,59.3577777778,2014-07-22,81.652
365,2014-07-23,59.3144444444,2014-07-23,81.659
366,2014-07-24,59.3322222222,2014-07-24,81.655
367,2014-07-25,59.8888888889,2014-07-25,81.605
368,2014-07-28,60.1844444444,2014-07-28,81.144
369,2014-07-29,60.3133333333,2014-07-29,80.537
370,2014-07-30,60.7966666667,2014-07-30,80.429
371,2014-07-31,60.2833333333,2014-07-31,78.649
372,2014-08-01,60.1077777778,2014-08-01,79.087
373,2014-08-04,60.3411111111,2014-08-04,79.363
374,2014-08-05,60.2422222222,2014-08-05,78.649
375,2014-08-06,59.9077777778,2014-08-06,78.041
376,2014-08-07,59.74,2014-08-07,77.639
377,2014-08-08,60.4433333333,2014-08-08,78.665
378,2014-08-11,60.31,2014-08-11,79.058
379,2014-08-12,60.1761111111,2014-08-12,79.117
380,2014-08-13,60.3022222222,2014-08-13,79.399
381,2014-08-14,60.7,2014-08-14,79.545
382,2014-08-15,60.8544444444,2014-08-15,79.26
383,2014-08-18,61.4711111111,2014-08-18,80.315
384,2014-08-19,61.5972222222,2014-08-19,80.748
385,2014-08-20,61.9188888889,2014-08-20,80.936
386,2014-08-21,62.4022222222,2014-08-21,81.366
387,2014-08-22,62.2938888889,2014-08-22,81.134
