date,close
2013-02-08,44.4916666667
2013-02-11,44.3055555556
2013-02-12,44.1467777778
2013-02-13,44.2355555556
2013-02-14,44.2866666667
2013-02-15,44.2433333333
2013-02-19,44.2856111111
2013-02-20,43.5972222222
2013-02-21,43.1827777778
2013-02-22,43.7577777778
2013-02-25,42.9977777778
2013-02-26,43.2911111111
2013-02-27,43.9222222222
2013-02-28,44.035
2013-03-01,44.2911111111
2013-03-04,44.4783333333
2013-03-05,44.8144444444
2013-03-06,44.7022222222
2013-03-07,44.5083333333
2013-03-08,44.715
2013-03-11,44.7633333333
2013-03-12,44.8630555556
2013-03-13,44.85
2013-03-14,44.9977777778
2013-03-15,44.5677777778
2013-03-18,44.21
2013-03-19,43.9883333333
2013-03-20,44.4427777778
2013-03-21,44.2266666667
2013-03-22,44.46
2013-03-25,44.265
2013-03-26,44.6888888889
2013-03-27,44.8316666667
2013-03-28,45.2083888889
2013-04-01,45.2777777778
2013-04-02,45.2411111111
2013-04-03,44.84
2013-04-04,45.1233333333
2013-04-05,44.8811111111
2013-04-08,45.2227777778
2013-04-09,45.2133333333
2013-04-10,45.83
2013-04-11,46.2797777778
2013-04-12,45.9155555556
2013-04-15,44.7211111111
2013-04-16,45.3311111111
2013-04-17,44.8444444444
2013-04-18,44.2588888889
2013-04-19,44.2983333333
2013-04-22,44.2411111111
2013-04-23,44.6316666667
2013-04-24,44.7172222222
2013-04-25,45.205
2013-04-26,45.1323333333
2013-04-29,45.3383333333
2013-04-30,45.6511111111
2013-05-01,45.4061111111
2013-05-02,46.1055555556
2013-05-03,46.9894444444
2013-05-06,47.0205555556
2013-05-07,47.0277777778
2013-05-08,47.3761111111
2013-05-09,47.3172222222
2013-05-10,47.3383333333
2013-05-13,47.0911111111
2013-05-14,47.5961111111
2013-05-15,47.8044444444
2013-05-16,47.6277777778
2013-05-17,47.9522222222
2013-05-20,47.5483333333
2013-05-21,47.5338888889
2013-05-22,47.0816666667
2013-05-23,47.1227777778
2013-05-24,46.9394444444
2013-05-28,47.1611111111
2013-05-29,46.7533333333
2013-05-30,47.07
2013-05-31,46.7216666667
2013-06-03,46.8894444444
2013-06-04,46.8088888889
2013-06-05,46.0611111111
2013-06-06,46.4516666667
2013-06-07,46.9335555556
2013-06-10,46.8883333333
2013-06-11,46.3427777778
2013-06-12,45.9455555556
2013-06-13,46.5983333333
2013-06-14,46.44
2013-06-17,46.5555555556
2013-06-18,46.7875
2013-06-19,46.1844444444
2013-06-20,44.8486666667
2013-06-21,44.7848888889
2013-06-24,44.1388888889
2013-06-25,44.8634444444
2013-06-26,44.955
2013-06-27,45.5377777778
2013-06-28,45.32
2013-07-01,45.8688888889
2013-07-02,46.0427777778
2013-07-03,45.8588888889
